era,city,date,time,variant,apparent_shift_minutes,any_changed,changed
구표준시,서울,1956-09-10,23:30,noSolarTime,62,1,"hourPillar|minggongBranch|bodyPalaceBranch|soulStar"
구표준시,서울,1956-10-17,00:13,noHistoricalTz,-30,1,"dayPillar|planetHouses"
구표준시,서울,1956-10-17,00:13,noSolarTime,2,0,""
구표준시,서울,1956-10-17,02:20,noHistoricalTz,-30,1,"ascSign|mcSign|planetHouses"
구표준시,서울,1956-10-17,02:20,noSolarTime,2,0,""
구표준시,서울,1956-10-17,04:27,noHistoricalTz,-30,1,"ascSign|mcSign|planetHouses"
구표준시,서울,1956-10-17,04:27,noSolarTime,2,0,""
구표준시,서울,1956-10-17,06:34,noHistoricalTz,-30,1,"mcSign|planetHouses"
구표준시,서울,1956-10-17,06:34,noSolarTime,2,0,""
구표준시,서울,1956-10-17,08:41,noHistoricalTz,-30,1,"mcSign|planetHouses"
구표준시,서울,1956-10-17,08:41,noSolarTime,2,0,""
구표준시,서울,1956-10-17,10:48,noHistoricalTz,-30,1,"mcSign|planetHouses"
구표준시,서울,1956-10-17,10:48,noSolarTime,2,0,""
구표준시,서울,1956-10-17,12:55,noHistoricalTz,-30,1,"planetHouses"
구표준시,서울,1956-10-17,12:55,noSolarTime,2,0,""
구표준시,서울,1956-10-17,15:02,noHistoricalTz,-30,1,"planetHouses"
구표준시,서울,1956-10-17,15:02,noSolarTime,2,1,"hourPillar|minggongBranch|bodyPalaceBranch|soulStar"
구표준시,서울,1956-10-17,17:09,noHistoricalTz,-30,1,"hourPillar|minggongBranch|bodyPalaceBranch|soulStar|planetHouses"
구표준시,서울,1956-10-17,17:09,noSolarTime,2,0,""
구표준시,서울,1956-10-17,19:16,noHistoricalTz,-30,1,"hourPillar|minggongBranch|bodyPalaceBranch|soulStar|ascSign|planetHouses"
구표준시,서울,1956-10-17,19:16,noSolarTime,2,0,""
구표준시,서울,1956-10-17,21:23,noHistoricalTz,-30,1,"hourPillar|minggongBranch|bodyPalaceBranch|soulStar|ascSign|planetHouses"
구표준시,서울,1956-10-17,21:23,noSolarTime,2,0,""
구표준시,서울,1956-10-17,23:30,noHistoricalTz,-30,1,"hourPillar|minggongBranch|bodyPalaceBranch|soulStar|ascSign|planetHouses"
구표준시,서울,1956-10-17,23:30,noSolarTime,2,0,""
구표준시,서울,1956-11-24,00:13,noHistoricalTz,-30,1,"dayPillar|mcSign|planetHouses"
구표준시,서울,1956-11-24,00:13,noSolarTime,2,0,""
구표준시,서울,1956-11-24,02:20,noHistoricalTz,-30,1,"ascSign|mcSign|planetHouses"
구표준시,서울,1956-11-24,02:20,noSolarTime,2,0,""
구표준시,서울,1956-11-24,04:27,noHistoricalTz,-30,1,"ascSign|mcSign|planetHouses"
구표준시,서울,1956-11-24,04:27,noSolarTime,2,0,""
구표준시,서울,1956-11-24,06:34,noHistoricalTz,-30,1,"planetHouses"
구표준시,서울,1956-11-24,06:34,noSolarTime,2,0,""
구표준시,서울,1956-11-24,08:41,noHistoricalTz,-30,1,"planetHouses"
구표준시,서울,1956-11-24,08:41,noSolarTime,2,0,""
구표준시,서울,1956-11-24,10:48,noHistoricalTz,-30,1,"planetHouses"
구표준시,서울,1956-11-24,10:48,noSolarTime,2,0,""
구표준시,서울,1956-11-24,12:55,noHistoricalTz,-30,1,"ascSign|planetHouses"
구표준시,서울,1956-11-24,12:55,noSolarTime,2,0,""
구표준시,서울,1956-11-24,15:02,noHistoricalTz,-30,1,"planetHouses"
구표준시,서울,1956-11-24,15:02,noSolarTime,2,1,"hourPillar|minggongBranch|bodyPalaceBranch|soulStar"
구표준시,서울,1956-11-24,17:09,noHistoricalTz,-30,1,"hourPillar|minggongBranch|bodyPalaceBranch|soulStar|planetHouses"
구표준시,서울,1956-11-24,17:09,noSolarTime,2,0,""
구표준시,서울,1956-11-24,19:16,noHistoricalTz,-30,1,"hourPillar|minggongBranch|bodyPalaceBranch|soulStar|planetHouses"
구표준시,서울,1956-11-24,19:16,noSolarTime,2,0,""
구표준시,서울,1956-11-24,21:23,noHistoricalTz,-30,1,"hourPillar|minggongBranch|bodyPalaceBranch|soulStar|planetHouses"
구표준시,서울,1956-11-24,21:23,noSolarTime,2,0,""
구표준시,서울,1956-11-24,23:30,noHistoricalTz,-30,1,"hourPillar|minggongBranch|bodyPalaceBranch|soulStar|ascSign|planetHouses"
구표준시,서울,1956-11-24,23:30,noSolarTime,2,0,""
구표준시,서울,1956-12-04,00:13,noHistoricalTz,-30,1,"dayPillar|planetHouses"
구표준시,서울,1956-12-04,00:13,noSolarTime,2,0,""
구표준시,서울,1956-12-04,02:20,noHistoricalTz,-30,1,"planetHouses"
구표준시,서울,1956-12-04,02:20,noSolarTime,2,0,""
구표준시,서울,1956-12-04,04:27,noHistoricalTz,-30,1,"planetHouses"
구표준시,서울,1956-12-04,04:27,noSolarTime,2,0,""
구표준시,서울,1956-12-04,06:34,noHistoricalTz,-30,1,"ascSign|planetHouses"
구표준시,서울,1956-12-04,06:34,noSolarTime,2,0,""
구표준시,서울,1956-12-04,08:41,noHistoricalTz,-30,1,"ascSign|planetHouses"
