birth_id,city,date,time,offset_min,any_changed,changed,asc_shift_deg,planet_house_changes
서울-1980-02-15-06:42,서울,1980-02-15,06:42,-120,1,hourPillar|minggongBranch|bodyPalaceBranch|soulStar|ascSign|mcSign|planetHouses,33.2667,12
서울-1980-02-15-06:42,서울,1980-02-15,06:42,-60,1,ascSign|planetHouses,17.8500,6
서울-1980-02-15-06:42,서울,1980-02-15,06:42,-30,1,planetHouses,9.2833,2
서울-1980-02-15-06:42,서울,1980-02-15,06:42,-15,1,planetHouses,4.7333,1
서울-1980-02-15-06:42,서울,1980-02-15,06:42,-5,0,,1.6000,0
서울-1980-02-15-06:42,서울,1980-02-15,06:42,5,1,planetHouses,1.6167,1
서울-1980-02-15-06:42,서울,1980-02-15,06:42,15,1,mcSign|planetHouses,4.9333,2
서울-1980-02-15-06:42,서울,1980-02-15,06:42,30,1,mcSign|planetHouses,10.0667,2
서울-1980-02-15-06:42,서울,1980-02-15,06:42,60,1,hourPillar|minggongBranch|bodyPalaceBranch|soulStar|ascSign|mcSign|planetHouses,20.9667,6
서울-1980-02-15-06:42,서울,1980-02-15,06:42,120,1,hourPillar|minggongBranch|bodyPalaceBranch|soulStar|ascSign|mcSign|planetHouses,44.6833,12
서울-1980-02-15-08:56,서울,1980-02-15,08:56,-120,1,hourPillar|minggongBranch|bodyPalaceBranch|soulStar|ascSign|mcSign|planetHouses,45.8167,12
서울-1980-02-15-08:56,서울,1980-02-15,08:56,-60,1,ascSign|mcSign|planetHouses,24.1167,8
서울-1980-02-15-08:56,서울,1980-02-15,08:56,-30,1,ascSign|mcSign|planetHouses,12.2333,1
서울-1980-02-15-08:56,서울,1980-02-15,08:56,-15,1,ascSign|mcSign|planetHouses,6.1500,1
서울-1980-02-15-08:56,서울,1980-02-15,08:56,-5,1,ascSign|mcSign,2.0500,0
서울-1980-02-15-08:56,서울,1980-02-15,08:56,5,0,,2.0500,0
서울-1980-02-15-08:56,서울,1980-02-15,08:56,15,1,planetHouses,6.1333,1
서울-1980-02-15-08:56,서울,1980-02-15,08:56,30,1,planetHouses,12.2333,2
서울-1980-02-15-08:56,서울,1980-02-15,08:56,60,1,hourPillar|minggongBranch|bodyPalaceBranch|soulStar|planetHouses,24.0833,9
서울-1980-02-15-08:56,서울,1980-02-15,08:56,120,1,hourPillar|minggongBranch|bodyPalaceBranch|soulStar|ascSign|planetHouses,45.7333,12
서울-1980-02-15-10:10,서울,1980-02-15,10:10,-120,1,hourPillar|minggongBranch|bodyPalaceBranch|soulStar|ascSign|mcSign|planetHouses,48.0500,12
서울-1980-02-15-10:10,서울,1980-02-15,10:10,-60,1,hourPillar|minggongBranch|bodyPalaceBranch|soulStar|planetHouses,23.6833,10
서울-1980-02-15-10:10,서울,1980-02-15,10:10,-30,1,planetHouses,11.5833,7
서울-1980-02-15-10:10,서울,1980-02-15,10:10,-15,1,planetHouses,5.7167,3
서울-1980-02-15-10:10,서울,1980-02-15,10:10,-5,1,planetHouses,1.8833,1
서울-1980-02-15-10:10,서울,1980-02-15,10:10,5,1,ascSign,1.8667,0
서울-1980-02-15-10:10,서울,1980-02-15,10:10,15,1,ascSign,5.5167,0
서울-1980-02-15-10:10,서울,1980-02-15,10:10,30,1,ascSign,10.8500,0
서울-1980-02-15-10:10,서울,1980-02-15,10:10,60,1,ascSign|mcSign|planetHouses,20.9000,2
서울-1980-02-15-10:10,서울,1980-02-15,10:10,120,1,hourPillar|minggongBranch|bodyPalaceBranch|soulStar|ascSign|mcSign|planetHouses,38.7000,12
서울-1980-02-15-12:24,서울,1980-02-15,12:24,-120,1,hourPillar|minggongBranch|bodyPalaceBranch|soulStar|ascSign|mcSign|planetHouses,37.3000,12
서울-1980-02-15-12:24,서울,1980-02-15,12:24,-60,1,hourPillar|minggongBranch|bodyPalaceBranch|soulStar|ascSign|planetHouses,17.1500,7
서울-1980-02-15-12:24,서울,1980-02-15,12:24,-30,1,planetHouses,8.2500,2
서울-1980-02-15-12:24,서울,1980-02-15,12:24,-15,0,,4.0500,0
